percent,state,county
12.7,37,125
24.0,37,155
11.2,37,167
20.3,37,183
0.7,37,199
11.6,37,037
3.6,37,111
15.6,37,101
31.2,37,103
26.7,37,145
10.3,37,019
0.7,37,009
25.5,37,013
39.4,37,107
5.0,37,109
14.2,37,133
11.6,37,135
9.7,37,161
25.2,37,163
3.8,37,197
4.5,37,011
6.5,37,023
33.0,37,033
5.5,37,059
24.5,37,061
37.0,37,063
19.8,37,105
14.0,37,129
30.5,37,191
39.0,37,165
52.9,37,083
19.1,37,001
0.6,38,013
1.2,38,061
3.6,38,105
1.2,38,007
0.4,38,043
0.1,38,019
0.0,38,037
0.3,38,067
0.6,38,091
0.3,38,041
0.5,38,045
0.5,38,059
5.1,38,017
1.6,38,025
0.0,38,029
0.9,38,051
0.1,38,063
0.7,38,077
0.6,38,079
0.4,38,099
2.1,38,001
0.9,38,009
2.4,38,003
0.0,38,027
4.0,38,035
0.6,38,053
0.9,38,057
0.7,38,055
0.8,38,069
0.7,38,073
0.1,38,085
0.0,38,011
0.0,38,033
0.1,38,047
0.0,38,095
1.2,38,093
1.1,38,023
0.2,38,031
2.4,38,081
5.5,38,087
2.2,38,089
2.4,39,053
1.4,39,077
2.9,39,009
0.4,39,001
1.5,39,103
2.7,39,159
1.8,39,021
0.8,39,125
7.2,39,057
22.2,39,049
5.8,39,101
4.7,39,115
1.5,39,169
0.2,39,175
8.0,39,017
2.2,39,067
1.1,39,083
7.9,39,139
0.5,39,163
1.5,39,063
7.1,39,045
1.9,39,039
0.8,39,069
5.5,39,081
0.4,39,137
2.0,39,027
2.0,39,047
3.5,39,129
1.7,39,091
14.4,39,153
3.0,39,143
2.7,39,149
0.7,27,033
4.1,27,139
0.2,27,039
0.6,27,157
1.4,27,117
0.8,27,035
0.5,27,107
1.4,27,171
3.1,27,103
0.5,27,041
0.2,27,051
0.9,27,069
0.8,27,079
0.5,27,087
1.3,27,025
0.8,27,127
0.6,27,173
0.6,27,153
1.1,27,007
3.5,27,013
1.0,27,055
0.8,27,073
0.0,27,077
1.4,27,111
2.0,27,161
1.5,27,137
5.9,27,003
5.8,27,145
0.3,27,081
0.4,27,089
0.4,27,095
4.4,27,163
1.8,27,017
0.3,27,065
0.5,27,071
0.5,27,097
5.4,27,131
3.0,27,147
0.3,27,125
0.6,27,001
0.2,27,043
0.6,27,101
4.8,27,067
0.7,27,075
1.1,27,133
0.9,27,143
0.7,27,155
0.6,27,005
13.1,27,053
0.7,27,015
0.7,27,023
0.4,27,029
0.7,27,057
0.5,27,059
0.3,27,091
3.6,27,099
2.3,27,115
5.9,27,109
1.1,27,159
3.3,27,009
1.3,27,047
0.6,27,085
0.4,27,121
1.4,27,149
2.4,27,151
83.8,28,051
42.0,28,005
27.2,28,013
2.9,28,141
41.1,28,153
8.9,48,015
0.0,48,261
3.8,48,355
12.7,48,089
1.7,48,409
2.8,48,379
2.9,48,381
0.1,48,385
2.4,48,411
0.4,48,413
0.3,48,431
0.5,48,507
2.6,48,057
1.3,48,065
1.8,48,155
15.9,48,161
5.1,48,175
0.5,48,193
7.1,48,197
11.0,48,335
2.5,48,045
6.5,48,285
5.1,48,445
0.8,48,243
0.1,48,247
4.7,48,339
0.9,48,111
0.4,48,479
0.4,48,011
0.9,48,069
3.3,48,273
0.7,48,489
4.1,48,107
2.9,48,151
1.7,48,131
0.5,48,031
16.5,48,241
0.1,48,271
1.0,48,117
12.6,48,167
1.4,48,283
0.0,48,393
11.4,48,457
2.9,48,483
24.6,48,037
0.2,48,043
1.1,48,263
17.5,48,423
0.9,48,105
5.7,48,199
6.2,48,227
7.2,48,289
0.6,48,337
17.2,48,365
0.0,49,027
0.7,49,053
0.4,49,025
0.5,49,019
0.0,49,033
0.3,49,051
0.6,49,003
0.5,49,021
0.7,49,041
1.1,49,057
0.5,49,013
0.2,49,037
1.8,49,035
0.6,49,047
0.2,49,009
1.3,49,011
0.3,49,055
0.7,49,007
0.2,49,015
0.7,49,029
0.8,49,005
0.2,49,017
0.2,49,023
0.9,50,021
0.4,50,019
0.8,50,013
0.6,50,017
2.5,50,007
1.0,50,015
0.7,50,027
1.1,50,005
1.2,50,025
1.3,50,001
0.8,50,023
3.2,51,185
4.8,51,610
15.2,51,685
1.2,51,735
56.5,51,183
14.1,51,820
28.7,51,770
7.0,51,775
41.6,51,710
29.0,51,037
9.7,51,059
59.7,51,081
13.2,51,095
1.3,51,167
2.4,51,173
6.4,51,678
14.3,51,031
22.3,51,089
16.3,51,099
30.7,51,103
4.3,51,105
10.3,51,115
15.4,51,119
32.2,51,149
2.5,51,165
0.7,51,169
45.2,51,181
19.8,51,011
7.8,51,067
25.5,51,097
4.6,51,121
11.4,51,127
32.2,51,049
16.0,51,075
34.9,51,083
6.9,51,113
20.7,51,153
33.1,51,175
0.0,51,091
54.7,51,025
27.9,51,033
8.3,51,073
33.6,51,131
5.7,51,141
10.9,51,145
3.3,51,163
2.0,51,171
7.3,51,061
46.9,51,036
13.8,51,047
32.0,51,053
5.8,51,079
9.1,51,085
30.8,51,111
12.5,51,137
69.7,51,595
3.2,51,197
29.9,51,550
7.4,51,660
9.8,51,003
6.8,51,019
3.0,51,023
5.7,51,195
7.1,51,520
52.7,51,740
14.0,51,830
5.4,51,005
0.5,51,035
1.4,51,191
27.5,51,133
1.5,51,139
3.8,51,187
21.9,51,510
22.2,51,630
50.2,51,650
9.0,51,013
42.3,51,670
2.9,51,027
4.1,51,069
17.3,51,179
13.0,51,199
47.8,51,760
12.9,51,125
20.1,51,143
4.6,51,720
13.5,51,065
21.3,51,007
10.0,51,840
29.2,51,001
1.9,51,063
4.6,51,077
40.7,51,135
1.7,54,033
4.0,54,069
0.0,54,013
0.7,54,065
7.6,54,081
0.4,54,007
1.2,54,001
8.4,54,047
0.5,54,099
1.0,54,109
0.1,54,035
6.2,54,055
1.8,54,097
0.0,54,101
7.7,54,003
5.1,54,019
1.6,54,023
1.5,54,027
4.3,54,089
1.7,54,009
1.3,54,017
2.4,54,025
5.5,54,031
3.6,54,049
3.5,54,057
2.6,54,059
1.9,54,029
0.3,54,041
0.8,54,067
